stars,reviews,love,price
4.5105,143.0,4722.0,38.0
3.6849,73.0,1689.0,60.0
3.9286,70.0,3548.0,138.0
4.232,194.0,2504.0,26.0
4.2283,92.0,1240.0,57.0
4.0591,372.0,4614.0,50.0
3.9668,331.0,3422.0,27.5
4.4958,2473.0,65912.0,42.0
3.6435,216.0,3291.0,12.0
4.4004,3062.0,62803.0,62.0
4.0671,164.0,5058.0,80.0
4.4621,1268.0,32464.0,25.0
4.363,427.0,6611.0,26.0
4.5699,1044.0,22941.0,26.0
4.4854,4409.0,335647.0,38.0
4.1774,919.0,45411.0,26.0
4.1923,208.0,6257.0,36.0
4.4325,1186.0,20268.0,28.0
4.1757,478.0,8279.0,38.0
4.1252,1685.0,35449.0,35.0
4.2693,1931.0,17932.0,27.0
4.4274,4048.0,64244.0,44.0
4.1311,61.0,830.0,22.0
4.3186,681.0,6488.0,25.0
4.2659,583.0,4788.0,24.0
4.7241,29.0,2193.0,28.0
4.7217,97.0,6261.0,26.0
4.2969,64.0,4936.0,26.0
4.4981,257.0,6185.0,15.0
4.0476,168.0,11354.0,15.0
4.4118,17.0,267.0,72.0
4.5749,581.0,8842.0,28.0
4.479,739.0,13767.0,30.0
4.2318,5013.0,62170.0,21.0
4.35,40.0,696.0,30.0
4.5375,400.0,9382.0,66.0
4.4119,420.0,6929.0,36.0
4.4279,1117.0,23472.0,40.0
4.5695,151.0,3174.0,85.0
4.2115,208.0,4664.0,65.0
4.3109,846.0,7656.0,36.0
4.2218,275.0,5121.0,41.0
4.5766,529.0,7928.0,72.0
4.0579,1743.0,11402.0,48.0
4.45,620.0,28849.0,13.0
4.1903,725.0,6872.0,38.0
4.4262,183.0,2913.0,70.0
4.069,29.0,1082.0,125.0
4.4276,283.0,6396.0,97.0
4.5152,33.0,469.0,17.0
4.1818,99.0,3677.0,25.0
4.9155,71.0,1193.0,49.0
4.4925,601.0,11788.0,51.0
4.6545,191.0,4034.0,50.0
4.3103,29.0,571.0,15.0
4.4294,354.0,3600.0,14.0
4.559,161.0,3774.0,14.5
4.7816,206.0,4895.0,39.5
4.5714,714.0,10284.0,21.0
4.7172,145.0,2344.0,21.0
4.3934,544.0,9425.0,25.0
4.3915,636.0,6926.0,17.5
4.4107,224.0,3082.0,19.0
4.7143,35.0,752.0,17.0
4.3421,38.0,1220.0,27.0
3.9922,256.0,5327.0,18.5
4.2937,555.0,9104.0,17.0
4.1595,232.0,14324.0,17.0
4.0989,657.0,9884.0,18.5
4.32,175.0,1576.0,54.0
4.4348,23.0,780.0,14.5
4.7188,928.0,18527.0,21.0
4.4942,433.0,6957.0,17.0
4.1743,241.0,6481.0,41.0
4.5697,2101.0,38384.0,19.0
